month_number,shop_id,item_id,monthly_sales
0,31,27,1
0,31,28,3
0,31,29,2
0,31,32,24
0,31,33,5
0,31,35,5
0,31,41,1
0,31,44,1
0,31,45,1
0,31,46,1
0,31,47,2
0,31,48,2
0,31,51,2
0,31,52,1
0,31,53,1
0,31,54,2
0,31,55,1
0,31,59,3
0,31,72,1
0,31,75,1
0,31,93,1
0,31,94,1
0,31,96,2
0,31,98,24
0,31,113,1
0,31,115,1
0,31,154,2
0,31,155,1
0,31,156,2
0,31,210,2
0,31,213,1
0,31,226,1
0,31,228,1
0,31,230,1
0,31,246,1
0,31,257,0
0,31,258,1
0,31,259,1
0,31,276,1
0,31,277,1
0,31,282,1
0,31,325,1
0,31,366,2
0,31,384,1
0,31,385,1
0,31,388,1
0,31,389,1
0,31,410,2
0,31,435,1
0,31,438,1
0,31,439,1
0,31,448,1
0,31,471,3
0,31,482,9
0,31,484,8
0,31,491,2
0,31,498,1
0,31,535,1
0,31,687,2
0,31,699,1
0,31,785,2
0,31,791,1
0,31,795,1
0,31,802,1
0,31,804,1
0,31,808,1
0,31,831,1
0,31,839,3
0,31,944,1
0,31,953,1
0,31,963,3
0,31,977,1
0,31,987,2
0,31,989,1
0,31,991,1
0,31,993,3
0,31,998,1
0,31,1003,3
0,31,1005,1
0,31,1006,4
0,31,1008,3
0,31,1013,8
0,31,1015,1
0,31,1016,2
0,31,1017,7
0,31,1018,2
0,31,1021,3
0,31,1022,8
0,31,1023,1
0,31,1025,4
0,31,1026,2
0,31,1032,3
0,31,1034,1
0,31,1052,1
0,31,1058,1
0,31,1065,1
0,31,1072,4
0,31,1081,1
0,31,1091,1
0,31,1097,2
0,31,1101,4
0,31,1102,3
0,31,1109,1
0,31,1110,1
0,31,1112,1
0,31,1113,1
0,31,1124,2
0,31,1126,1
0,31,1131,1
0,31,1137,1
0,31,1140,1
0,31,1142,1
0,31,1143,1
0,31,1153,1
0,31,1164,1
0,31,1168,1
0,31,1195,1
0,31,1201,1
0,31,1204,2
0,31,1216,1
0,31,1217,3
0,31,1223,1
0,31,1227,1
0,31,1235,2
0,31,1236,1
0,31,1243,5
0,31,1247,3
0,31,1249,15
0,31,1261,1
0,31,1266,1
0,31,1279,1
0,31,1301,1
0,31,1302,5
0,31,1313,1
0,31,1315,1
0,31,1318,3
0,31,1321,1
0,31,1326,1
0,31,1339,1
0,31,1357,2
0,31,1359,1
0,31,1409,2
0,31,1410,1
0,31,1418,7
0,31,1420,14
0,31,1423,3
0,31,1438,4
0,31,1463,4
0,31,1467,1
0,31,1470,55
0,31,1471,23
0,31,1472,12
0,31,1475,15
0,31,1481,10
0,31,1482,7
0,31,1520,1
0,31,1523,6
0,31,1524,2
0,31,1525,1
0,31,1528,3
0,31,1593,1
0,31,1598,2
0,31,1603,1
0,31,1616,1
0,31,1624,3
0,31,1653,1
0,31,1675,3
0,31,1710,1
