Id,Category
0,1
1,4
2,8
3,4
4,1
5,5
6,9
7,4
8,6
9,8
10,0
11,3
12,0
13,3
14,2
15,2
16,7
17,1
18,7
19,2
20,7
21,2
22,5
23,4
24,2
25,5
26,0
27,3
28,3
29,7
30,9
31,1
32,0
33,1
34,1
35,5
36,7
37,0
38,5
39,0
40,3
41,5
42,6
43,0
44,9
45,1
46,4
47,7
48,9
49,4
50,7
51,6
52,3
53,2
54,9
55,9
56,8
57,5
58,4
59,1
60,7
61,6
62,9
63,8
64,6
65,2
66,2
67,2
68,1
69,3
70,5
71,6
72,3
73,4
74,0
75,8
76,5
77,3
78,3
79,5
80,9
81,5
82,4
83,9
84,6
85,7
86,4
87,3
88,0
89,2
90,0
91,3
92,0
93,9
94,1
95,3
96,3
97,9
98,6
99,3
100,0
101,2
102,8
103,7
104,6
105,7
106,7
107,6
108,7
109,7
110,6
111,5
112,7
113,4
114,7
115,7
116,6
117,0
118,7
119,0
120,5
121,0
122,3
123,4
124,0
125,2
126,4
127,2
128,2
129,6
130,6
131,9
132,6
133,0
134,5
135,6
136,5
137,5
138,0
139,2
140,6
141,7
142,7
143,7
144,5
145,1
146,7
147,5
148,5
149,7
150,9
151,4
152,7
153,4
154,0
155,9
156,2
157,9
158,2
159,9
160,9
161,6
162,3
163,5
164,3
165,9
166,7
167,5
168,7
169,8
170,4
171,6
172,7
173,7
174,1
175,5
176,1
177,1
178,9
179,4
180,2
181,4
182,4
183,3
184,6
185,3
186,7
187,7
188,1
189,0
190,2
191,8
192,9
193,9
194,9
195,8
196,6
197,7
198,8
199,6
200,8
201,9
202,9
203,2
204,3
205,6
206,7
207,5
208,1
209,2
210,9
211,3
212,6
213,8
214,1
215,4
216,5
217,4
218,8
219,6
220,7
221,9
222,0
223,5
224,3
225,9
226,9
227,7
228,6
229,7
230,5
231,7
232,7
233,2
234,8
235,5
236,2
237,5
238,7
239,6
240,3
241,0
242,3
243,8
244,4
245,7
246,4
247,3
248,4
249,4
250,3
251,8
252,8
253,6
254,8
255,8
256,3
257,9
258,3
259,2
260,8
261,7
262,9
263,9
264,7
265,1
266,1
267,4
268,9
269,4
270,1
271,4
272,8
273,3
274,5
275,0
276,4
277,5
278,7
279,7
280,9
281,0
282,5
283,0
284,2
285,5
286,1
287,8
288,1
289,3
290,4
291,3
292,4
293,2
294,7
295,5
296,5
297,9
298,8
299,4
300,2
301,3
302,1
303,0
304,5
305,8
306,2
307,1
308,9
309,9
310,2
311,0
312,1
313,7
314,9
315,6
316,9
317,2
318,3
319,7
320,7
321,9
322,8
323,4
324,7
325,5
326,4
327,4
328,7
329,4
330,7
331,8
332,0
333,9
334,0
335,7
336,4
337,0
338,4
339,3
340,2
341,6
342,3
343,6
344,0
345,7
346,1
347,0
